tweet,clean_tweet,emotion
" #60: @Scott A. Williams ed ""Let's be clear, this #AvengersEndgame #Avengers assembled scene was one of the greatest cinematic moments ever. I could literally watch this on loop & be happy. #WhateverItTakes https://t.co/2LFOj1BVZy""",clear scene one cinematic ever could literally watch loop happy,happy
" #61: @[17's  연] ig: precious_svt ed ""RT @insolategogh: seeing the boys remaking their iconic moments, practicing each other songs in a short period of time and getting lots and…""",seeing iconic short period time getting lot,happy
" #62: @Lourdes Rivera ed ""@HoneyJoonie94 @BTS_twt I love how happy he looks😍😍💜💜 thank you Honey for sharing these precious moments with us💜💜""",love happy thank honey precious,happy
" #63: @self lover ed ""HAPPY 18 GAGA @kaerigif LOVE YOUUUUU AND TO MORE KABALIWAN MOMENTS WITH YOU HAHAHAHAHAHAH SA SUSUNOD MAGPA PARTY KA NA JUSKO KA 😂 https://t.co/wEfD13HKFh""",self lover happy love party,happy
" #64: @Lone Star Aviation Photography ed ""@HeroesandCops You sir are a hero. In that little boys final hours, you gave him a reason to smile and believe. For a few moments of his life on Friday, everything was going to be okay and he was happy. You are an angel and someone that I would be honored to meet in person someday.""",lone star aviation photography sir hero little final gave reason smile believe life everything going happy angel someone would meet person someday,happy
" #65: @Make it right💜 ed ""You have many more happy moments to come your way baby 😘😘😘 https://t.co/EnMhhJ59o8""",make many happy come way baby,happy
" #66: @eleanor ed ""RT @MirayaDizon1: Time is ticking fast. Relive the past happy moments while we can. Be the joy to everyone's face. #MaineLovesMAC #ALDUBW…""",time ticking fast relive past happy joy face,happy
" #67: @Morgenstern siblings 🖤 ed ""Thank you to everyone #ShadowhuntersChat @Kat_McNamara specially to you. You turned my world upside down just like clary’s. I will always follow you because you made me really happy in my saddest moments. You truly saved me. So, for that, thank you 🧡""",morgenstern thank everyone specially turned world upside like always follow made really happy truly saved thank,happy
" #69: @Kia🧸 ed ""RT @SophieT: #WorldMentalHealthDay I understand your pain. Trust me, I do. I’ve seen people go from the darkest moments in their lives to l…""",understand pain trust seen people,happy
" #70: @MY BABY💚SOPE🇨🇳 ed ""RT @MY_AURORA_SUGA: @SUGACoffee309 To SUGACoffee:Hope you'll happy forever♡Just like Hoseok said""Do everything what you want to do""Thank…""",happy like everything want,happy
" #72: @☮︎ Meredith Hale ed ""RT @joshturnermusic: To hear @randytravis sing “Amen” Saturday night at the @opry will remain one of the most moving moments of my career.…""",hale hear sing night remain one moving,happy
" #2: @Yudiansyah Muhammad ed ""RT @GooglePlayDev: The 2019 #GooglePlay Awards at #io19 have just wrapped up, celebrating top #Android apps and games across 9 categories.…""",wrapped top android across,happy
" #3: @Keith T. Greene ed ""RT @Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…""",drill spicy chicken coming back crazy took like day half,happy
" #4: @えれな ed ""RT @_fatpanda_v: let's get this straight. monbebes love mx for their stupid ass personalities, and their amazing talent and music. we get o…""",get straight love stupid amazing talent music get,happy
" #5: @Edgar ed ""Urias was amazing in his first save opportunity, might be smart to limit Jansen to two days back to back and use Urias if needed on the third.""",amazing first save opportunity might smart limit two day back back use third,happy
" #10: @Alison With One L ed ""RT @Lord_Kristine: The case for replacing confederate monuments with bad triceratops statues:1. They are infinitely more entertaining.2.…""",alison one case confederate bad infinitely,happy
" #11: @KC Dags ed ""RT @SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. Th…""",dag best translator ever shout amazing making deaf feel included,happy
" #12: @boy tambay ed ""@hearditright @inquirerdotnet @JMAurelioINQ I am basing my actions ser based from my own experience. Did Panelo say migraine aura by the way?""",boy ser based experience say migraine aura way,happy
" #13: @Mimmiii ed ""RT @Michelle101895: I know that not many ppl are going to read this...but I have to put this out in the universe, for myself. @BTS_twt at t…""",know many going read put universe,happy
" #14: @Richard Peters ed ""RT @_ConnerBrown_: In the open source spirit, here are the slides to ""How Bitcoin will change the world."" I use this to teach Bitcoin and…""",open source spirit change world use teach,happy
" #15: @Vênus 💜 ed ""RT @chrisevansbrcom: Talented, brilliant, incredible, amazing, show-stopping, spectacular, totally unique. #AvengersEndgame https://t.co/dl…""",talented brilliant incredible amazing spectacular totally unique,happy
" #16: @Running Susi ed ""When you can‘t beat everyone with an amazing dress on the red carpet anymore you have to change your outfit four times. 😉 #MetGala #LadyGaga https://t.co/pAvZBugeC3""",running susi beat everyone amazing dress red carpet change outfit four time,happy
" #17: @Maria Nymand ed ""My baby looking AMAZING WoWw https://t.co/Txit9dLNim""",maria baby looking amazing,happy
" #18: @irma ed ""RT @pirogtm: ‘it’s worth it to stay alive’hearing these words from tyler along with legend is a massive impetus we all needed. this amazin…""",worth stay along legend massive impetus,happy
" #19: @G ThE QuEeN👸👑 ed ""RT @khloekardashian: The fashion at the Met Gala is amazing #MetGala""",fashion met gala amazing,happy
" #20: @Dubs ed ""@BrandonDavisBD @Russo_Brothers #EveningWithJoe That was an amazing interview, thank you to Brandon for asking my question and thank you to Joe for answering.  Excited to receive the Infinity Guantlet. You can hear the Question/Answer at 47:50. https://t.co/TiydbeHep9""",dub amazing interview thank question thank joe excited receive infinity hear,happy
" #22: @Courtney Holland 🇺🇸 ed ""#NewProfilePic in honor of @OfficeOfMike Wouldn’t it be amazing to show our support for Mike by all changing our profile pictures to this? https://t.co/BHkJXYJWk3""",honor amazing show support mike profile,happy
" #23: @🌸 Map of the Seoul 🌸 ed ""RT @ARMYMAGofficial: [#BTSonMedia]🍀KBS News reported on @BTS_twt’s concert at @RoseBowlStadium.Knowing that so many homes in South Kore…""",map news concert many south,happy
" #25: @cc22 ed ""RT @ARMYMAGofficial: [#BoyWithCamp]🍀It is amazing to see the #MetGala celebrities wearing styles @BTS_twt has previously worn throughout…""",amazing see wearing previously worn,happy
" #27: @mirnot ed ""RT @mommy_tanya: Real quick here. The concert was magical and truly amazing! @BTS_twt boys seriously did a hard work, they performed at mo…""",real quick concert magical truly amazing seriously hard work,happy
" #28: @xTheGreyStone ed ""What an amazing stream, can’t thank @MarleyBarbie__ for the host and raid and happy I could pay it forward to @fivebyfivex with the people I managed to keep around 😂 can’t be any happier that I started this journey with everyone! ✌🏼""",amazing stream thank host raid happy could pay forward people keep around happier journey everyone,happy
" #29: @small thing pjm 💜 ed ""@BTS_twt HAVE FUN!! The movie's really amazing but prepare tissues or hanky just in case 😉""",small thing fun really amazing prepare hanky case,happy
" #30: @P.K.s PowerfromSpace 🚀 ed ""RT @weschatham: She took out the night king. She is that guy! RT @DiaTriose: Arya and Amos would be an amazing pair in a fight #TheExpanse…""",took night king guy would amazing pair fight,happy
" #33: @Andrew ed ""RT @Tempe_SD: Check out Boothiful tonight on Twitch!! He’s having a Mental Health Monday and it is a legit time to talk to someone if you n…""",check tonight twitch mental health legit time talk someone,happy
" #34: @Al Quartemont ed ""I'll miss Norah in the AM, but what an amazing quote to sum up her opportunity. Go get 'em, @NorahODonnell! https://t.co/vKGUziREr8""",ill miss amazing quote sum opportunity get,happy
" #35: @Edwin ed ""RT @jimrome: Celtics getting booed at home in Game 4 is amazing. And they deserve it""",getting home game amazing deserve,happy
" #37: @steve sumner ed ""RT @Nataliew1020: This story will air this Friday. It's one of the most emotional interviews I've ever given. I'm glad they'll be sharing a…""",sumner story air one emotional ever given glad theyll,happy
" #38: @Tamar 🥀 ed ""RT @fashioniconluke: little women is looking amazing so far https://t.co/5qEbWzS6Nm""",little looking amazing far,happy
" #40: @Kani♡Hansu ed ""Happy birthday  @Atharvaamurali 💐🎁🎊🎉🎂Wishing you lots of success for #100theMovie 👍🏼Have an amazing year ahead.Lots of love  from @ihansika fans 💫🌺Waiting for this movie 😍 https://t.co/fUgxyRznlV""",happy birthday lot success amazing year love movie,happy
" #41: @MBS Creativity, LLC ed ""RT @LiftUpMKE: Hack a Pipeline was a great event, but the mentors made it go from great to AMAZING! Thank you to all the mentors.  We wish…""",creativity hack pipeline great event made great amazing thank,happy
" #42: @Erika ed ""RT @ARMYMAGofficial: [#BoyWithCamp]🍀It is amazing to see the #MetGala celebrities wearing styles @BTS_twt has previously worn throughout…""",erika amazing see wearing previously worn,happy
" #44: @GummyMin with Luv #PersonaBillboardNo1 ed ""@BTS_twt I also get excited every time I hear the song playing in the radio or a public place. You guys are amazing! Enjoy the movie!#PremiosMTVMIAW #MTVLAFANDOMBTSARMY @BTS_twt""",also get excited every time hear song radio public place amazing enjoy,happy
" #45: @Eugen St ed ""@Kat_McNamara @ShadowhuntersTV Thank You for a wonderful Show !✨ You are amazing on frist day and on last day !✨ Magic Beauty ✨❤""",thank wonderful show amazing frist day last day magic beauty,happy
" #46: @Conservative Patriot 🇺🇲🇮🇱⭐⭐⭐ ed ""What an amazing child... https://t.co/yMkRadJdgm""",conservative patriot amazing child,happy
" #48: @Kayayayayyysune 🦇 ed ""@SheepEva11 AWA THANK YOUUU 💖💖💖 she did such an amazing job, I can’t stop staring at it 😍""",awa thank amazing job stop staring,happy
" #49: @Levelyn ed ""RT @Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…""",drill spicy chicken coming back crazy took like day half,happy
" #50: @PH Plasticos Hoyos ed ""meeting amazing women in different industries.  @cruzkarenkc The best thing is the positive energy. All emphasizing the mind, soul and the body and We decided to share our inspiration product with empowering women @happymomconference  #paseocolorado thank you @_maramartin_ https://t.co/oxR5h9rclC""",meeting amazing different best thing positive energy mind soul body decided share inspiration product thank,happy
" #51: @Gang-Star 🤩 ed ""RT @Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…""",drill spicy chicken coming back crazy took like day half,happy
" #52: @Maremmarally.com ed ""#rally #racing #wrc #motorsport #rallye #wrx #maremmarally #nikon #amazing #follow #car #drive #driver #lanciadelta #lancias4 #lancia #martini #martiniracing #s4 #terra https://t.co/dPfgFtx55Y""",rally racing amazing follow car drive driver,happy
" #53: @main ed ""RT @twentyonepilots: here are winners from our @creativeallies contest but canada this time. shoutout to Daniel, Emma, Allison, Cheyenne, L…""",main contest canada time emma,happy
" #55: @dogslovesushi ed ""'It's amazing to me': Meet the Inuk elder in this photo shared around the worldhttps://t.co/xDDyqm2YTQ https://t.co/zTuRWy5ZPD""",amazing meet elder photo around world,happy
" #56: @hi my name is Lin memeranda ed ""@Lin_Manuel @LighterWay2Live Yes I saw that she's amazing""",name lin yes saw amazing,happy
" #57: @songs from the big vitchair ed ""RT @respektor: She gave the most amazing nose kisses! I'm smitten with your pup! Thanks for sharing her with dogless me 🐶. For now I dream.…""",big gave amazing nose smitten pup thanks dogless,happy
" #58: @Ana Escobedo ed ""@MaldonadoLAUSD @lausdLDE @LASchools @Monica4LA You’re an amazing role model for our students, glad they were able to hear your inspirational story.  So proud of you!👏👏👏""",ana amazing role model glad able hear inspirational story,happy
" #59: @AG ed ""RT @ChelseaAlece: Pregnancy is amazing Giving birth is incredible. My heart goes out to the women who are unable to experience it, it’s a…""",pregnancy amazing giving birth incredible heart unable experience,happy
" #61: @LV ed ""Amazing analysis as always Mr Johnson, if only there was a job where you could maybe build your own team to have a legendary rivalry like these guys did! https://t.co/IjmnzcBFiu""",amazing analysis always job could maybe build team legendary rivalry like,happy
" #62: @Nicole.nrc ed ""RT @DavidLCastro_: Thank you to everyone who supported me through this journey of becoming Raphael Santiago. lt was truly an honor. Thank y…""",thank everyone journey becoming truly honor thank,happy
" #63: @𝒂𝒏𝒏𝒂 (nsfr) ed ""not to be gross but im just rlly proud of harry for wearing a lace shirt like it’s such a highly feminized piece of clothing which is going to make a lot of ignorant locals talk about/question his sexuality which i know he hates but he looked so amazing n confident he killed it""",gross harry wearing lace shirt like highly piece clothing going make lot ignorant talk sexuality know amazing confident,happy
" #64: @Dr Darren Saunders ed ""@KetanJ0 have you been to Vigeland park yet? amazing""",saunders park yet amazing,happy
" #65: @zhiqz ed ""RT @reveluvunion: ReVeluvs!! It's finally here! Let's all collaborate our efforts into making an amazing summer comeback for Red Velvet. Do…""",finally collaborate making amazing summer comeback red velvet,happy
" #66: @Nicole Perlroth ed ""RT @jacklgoldsmith: Amazing story.  As Hayden said elsewhere: ""If they cannot protect the tools, I just can't mount the argument to defend…""",amazing story said elsewhere cannot protect cant mount argument,happy
" #67: @wybie ed ""just tried chocolate almond milk........ amazing""",tried chocolate almond milk amazing,happy
" #68: @Coline ed ""RT @twentyonepilots: here are winners from our @creativeallies contest but canada this time. shoutout to Daniel, Emma, Allison, Cheyenne, L…""",contest canada time emma,happy
" #69: @MilesforWishes ed ""About last night🤩, so nervous I forgot to ask for a photo, dragged back for this one (thnks Louise)Amazing evening a loads to take away for my own journey and upcoming Solo Welsh Three Peaks cycling record attempt.Planning & Team are 🔑 to success#UKCycleChat #cycling https://t.co/y3LDXz61Yl""",last nervous forgot ask photo dragged back one evening take away journey upcoming solo welsh three cycling record team cycling,happy
" #70: @Jacob ed ""@ashleyytaylur Duuude i dont even know you and I have faith in you !!😅 You’ve gotta have faith in yourself , your voice is fr amazing !! 😍 keep it up and watch what happens , fr 💯🙌🏼""",dont even know faith faith voice amazing keep watch,happy
" #71: @Zeli ed ""RT @SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. th…""",best translator ever shout amazing making deaf feel included,happy
" #72: @үcя-ℓ ed ""RT @LayZhangSupport: We are soon reaching 5k followers! And we haven't even turned 1 yet! 🎉 You guys are amazing! 💕 Thank you for the endle…""",soon reaching havent even turned yet amazing thank,happy
" #74: @Atsuko🌻mocoﾏﾏ♪ ed ""RT @rypaffo: You guys are amazing making these GIFs 😭 you'll see some tonight! Thank you!!!!!Tonight I'll start at 10pm!And here is How…""",amazing making see tonight thank ill start,happy
" #75: @waluigbot ed ""Waluigi is amazing and deserves a spot in the Smash Bros roster. Do you like Waluigi?""",amazing spot smash roster like,happy
" #76: @よぴにゃん ed ""RT @WentworthLadies: Better late than never😀Who would have known 6 years ago just how popular Wentworth would become? We have loved belove…""",better late would known ago popular would become,happy
" #77: @#ElliB ed ""RT @janasiaariana: crazy that Zendaya had to carry the #MetGala this year without the help of Rihanna and Beyoncé. you did amazing bby. ❤️…""",crazy carry year without help amazing,happy
" #78: @Bravo Logger ed ""RT @TeamArianaMadix: Wow, @ariana2525 showing her scar like a boss. You’re so amazing bb. 💖 #PumpRules""",bravo logger wow showing scar like bos amazing,happy
" #80: @mi ho ed ""RT @SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. Th…""",best translator ever shout amazing making deaf feel included,happy
" #1: @Will Graham ed ""@robins_of -The unfamiliar dog runs, too, surprised by the bustle and the sudden appearance of the scraggly-looking man. It comes to a stop beneath a crooked tree, and pants heavily while looking across at him. Satisfied that his pack is safe, at least for the moment, Will ventures another-""",graham unfamiliar dog bustle sudden appearance man come stop beneath crooked tree pant heavily looking across satisfied pack safe least moment another,happy
" #2: @XxAmeliaXx ed ""RT @carolecadwalla: Nigel Farage’s LeaveEU campaign was found broke law & has been referred to police. In a separate year-long investigatio…""",campaign found broke law police separate yearlong,happy
" #3: @Samantha Cook ed ""@dom2d This is me rn watching my deadlines move closer and closer as I take the pause I promised myself to process a life milestone. Satisfied, yet in a boat heading for a diiiiiiive, assuming it'll all come together at some point.""",cook watching move closer closer take pause process life milestone satisfied yet boat heading assuming come together point,happy
" #6: @Danice Mae P. Sison ed ""@saberkite Congee. With a fresh egg & century egg slices. There's something about eating warm rice porrige that centers me. A good bowl should leave me feeling totally satisfied.""",mae congee fresh egg century egg there something eating warm rice good bowl leave feeling totally satisfied,happy
" #7: @Ros McMullen ed ""RT @carolecadwalla: Nigel Farage’s LeaveEU campaign was found broke law & has been referred to police. In a separate year-long investigatio…""",campaign found broke law police separate yearlong,happy
" #8: @claudia 🤘🏼💛 ed ""RT @jawnyutah: Started a hydration business. Here’s a video of my first satisfied customer https://t.co/mxam4cpa6D""",hydration business video first satisfied customer,happy
" #9: @TIOL ed ""SCN is presumptive in nature - essential requirements for levying ST under SOTG service not satisfied - SCN not maintainable: CESTAT https://t.co/eHH35lBCHv""",presumptive nature essential service satisfied maintainable,happy
" #10: @⚠ / risi ♡ ed ""last na username ko na ba to? satisfied na ko e di ako makilala nong iba. hahahahahahaha""",last satisfied ako iba,happy
" #11: @prakash ed ""@igtamil Looking weard & why need to wear that too..Have they ever see their face in the mirror & satisfied...""",looking need wear ever see face mirror satisfied,happy
" #12: @𝐉𝐨𝐝𝐢 ed ""RT @ImmaculateLoo: @ericswalwell A narcissistic mob lackey is in OUR House. He’ll never be satisfied.He has no limits. He will not stop.H…""",narcissistic mob lackey house never,happy
" #13: @ConchMaturan💙🇵🇭 ed ""RT @Scripture_Truth: My soul is satisfied as with a rich feast. -Psalms 63.5""",soul satisfied rich feast,happy
